# gazeID, sessionQuesID, gazeTimestamp, x, y, confidence
868, 9, 1511889757957, 577.951, 585.829, 0.354441
869, 9, 1511889758013, 580.801, 587.409, 0.253933
870, 9, 1511889758095, 576.392, 590.39, 0.224554
871, 9, 1511889758245, 577.172, 596.182, 0.213818
872, 9, 1511889758340, 600.823, 589.906, 0.303334
873, 9, 1511889758501, 700.889, 608.302, 0.331819
874, 9, 1511889758612, 670.581, 615.278, 0.151432
875, 9, 1511889758698, 636.823, 602.693, 0.110136
876, 9, 1511889758790, 541.653, 589.33, 0.127929
877, 9, 1511889758866, 514.851, 588.753, 0.114446
878, 9, 1511889758939, 508.641, 588.667, 0.126108
879, 9, 1511889759048, 568.263, 591.874, 0.114959
880, 9, 1511889759139, 529.252, 590.782, 0.137502
881, 9, 1511889759269, 522.89, 591.631, 0.127482
882, 9, 1511889759409, 553.825, 595.707, 0.106006
883, 9, 1511889759507, 540.17, 593.264, 0.120904
884, 9, 1511889759648, 571.774, 599.841, 0.115345
885, 9, 1511889759741, 527.653, 587.792, 0.311674
886, 9, 1511889759854, 510.564, 594.753, 0.132209
887, 9, 1511889759966, 503.827, 595.63, 0.18872
888, 9, 1511889760040, 473.096, 596.368, 0.161411
889, 9, 1511889760104, 472.889, 592.24, 0.189335
890, 9, 1511889760200, 530.07, 598.736, 0.134505
891, 9, 1511889760323, 511.385, 593.04, 0.231063
